,Quality Momentum Univ Part I 4bn MktCap / 100k Liq,,,,,,,,,
,28/01/2026,,,,,,,,,
,,,,,,,,,,
,#,Ticker,Name,Last,MktCap,SectorCode,SubSectorCode,IndCode,EarnYield,FCFYield
,1,AAMI:USA,"Acadian Asset Management, Inc.",55.57,"1,984.35",FINANCIAL,INVESTSVCESS,INVESTSVCE,4.27,11.15
,2,AAOI:USA,"Applied Optoelectronics, Inc.",37.39,"2,544.95",TECH,ELECTRONIC,COMPONENTS,-8.63,-12.77
,3,AAP:USA,"Advance Auto Parts, Inc.",49.34,"2,960.40",CYCLICALS,RETAILMISC,AUTORETAIL,-12.79,-13.56
,4,AARD:USA,"Aardvark Therapeutics, Inc.",14.7,319.66,HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,-15.28,-15.25
,5,AAT:USA,"American Assets Trust, Inc.",18.05,"1,103.80",FINANCIAL,REALESTATE,REIT,5.63,6.74
,6,AAUC:USA,Allied Gold Corp. (Canada),31.7,"3,705.80",MATERIALS,MINING,ORE,-1.05,-0.65
,7,ABAT:USA,American Battery Technology Co.,4.75,571.48,MATERIALS,MINING,ORE,-10.72,-6.24
,8,ABCL:USA,"AbCellera Biologics, Inc.",3.99,"1,193.06",HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,-14.44,-12.74
,9,ABEO:USA,"Abeona Therapeutics, Inc.",5.11,267.77,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,22.8,-29.71
,10,ABM:USA,"ABM Industries, Inc.",45.39,"2,731.42",BIZSVCE,BIZSVCESS,BIZSUPPORT,5.7,5.51
,11,ABOS:USA,"Acumen Pharmaceuticals, Inc.",2.72,164.76,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-81.13,-75.11
,12,ABP:USA,"Abpro Holdings, Inc.",2.02,5.41,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,"-12,040.97",-257.82
,13,ABR:USA,"Arbor Realty Trust, Inc.",7.77,"1,520.67",FINANCIAL,REALESTATE,REIT,10.07,28.12
,14,ABSI:USA,Absci Corp.,2.98,446.24,HEALTHCARE,HCARESVCE,HCAREMISC,-30.34,-19.13
,15,ABTC:USA,American Bitcoin Corp.,1.59,"1,224.17",FINANCIAL,FINSVCE,FINSPECIAL,-47.13,-3.08
,16,ABUS:USA,Arbutus Biopharma Corp.,4.16,798.53,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-5.33,-5.61
,17,ABVC:USA,"ABVC BioPharma, Inc.",2.06,49.83,HEALTHCARE,HCAREEQUIP,MEDDEVICESOTHER,-10.83,-3.8
,18,ABX:USA,"Abacus Global Management, Inc.",8.1,791.41,FINANCIAL,INVESTSVCESS,INVESTSVCE,0.97,-14.3
,19,ACAD:USA,"ACADIA Pharmaceuticals, Inc.",26.2,"4,431.63",HEALTHCARE,BIOPHARMA,BIOPHARMASYS,5.93,2.21
,20,ACB:USA,"Aurora Cannabis, Inc.",4.42,250.06,NONCYCLICAL,FOODPRODUCTION,CANNABIS,-16.76,-5.22
,21,ACCL:USA,Acco Group Holdings Ltd.,1.49,20.71,BIZSVCE,BIZSVCESS,PROSVCE,0.64,0.94
,22,ACCO:USA,ACCO Brands Corp.,3.92,374.75,CYCLICALS,CONSUMERGOODS,LEISURE,10.96,19.47
,23,ACCS:USA,"ACCESS Newswire, Inc.",9.4,36.37,TECH,SOFTWTECH,SOFTW,-14.14,2.92
,24,ACDC:USA,ProFrac Holding Corp.,4.97,898.58,ENERGY,UPSTREAMENERGY,OILGASSUPPORT,-41.21,2.36
,25,ACEL:USA,"Accel Entertainment, Inc.",11.2,938.17,CONSUMERSVCE,HOSPITALITYSS,HOSPITALITY,4.51,4
,26,ACET:USA,"Adicet Bio, Inc.",8.54,44.44,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-236.74,-206.43
,27,ACFN:USA,"Acorn Energy, Inc.",17.52,43.88,INDUSTRIAL,INDMFR,MACHINE,15.13,4.32
,28,ACH:USA,"Accendra Health, Inc.",2.1,162.33,HEALTHCARE,HCARESVCE,HCARESUPPORT,-828.61,-223.32
,29,ACHC:USA,"Acadia Healthcare Co., Inc.",13.48,"1,219.02",HEALTHCARE,HCARESVCE,PATIENTCARE,8.74,-28.44
,30,ACHV:USA,"Achieve Life Sciences, Inc.",4.61,243.47,HEALTHCARE,BIOPHARMA,BIOPHARMAOTHER,-29.89,-17.3
,31,ACIC:USA,American Coastal Insurance Corp.,10.85,529.1,FINANCIAL,INSURANCESS,INSURANCE,15.97,22.21
,32,ACIU:USA,AC Immune SA,3.54,311.67,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-23.79,-17.11
,33,ACIW:USA,"ACI Worldwide, Inc.",44.7,"4,615.56",TECH,SOFTWTECH,SOFTW,5.53,6.19
,34,ACLS:USA,"Axcelis Technologies, Inc.",91.04,"2,822.06",TECH,ELECTRONIC,SEMIEQUIPSVCE,4.65,4.33
,35,ACLX:USA,"Arcellx, Inc.",68.51,"3,958.24",HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-5.72,-5.19
,36,ACMR:USA,"ACM Research, Inc.",53.95,"3,500.08",TECH,ELECTRONIC,SEMIEQUIPSVCE,3.17,-0.32
,37,ACNB:USA,ACNB Corp.,48.76,508.23,FINANCIAL,BANKS,BANKSUSA,6.72,8.74
,38,ACNT:USA,Ascent Industries Co.,16.04,150.35,MATERIALS,CHEM,CHEMSPECIAL,0.58,4.22
,39,ACOG:USA,"Alpha Cognition, Inc.",5.89,95.8,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-23.18,-16.83
,40,ACON:USA,"Aclarion, Inc.",3.64,2.12,HEALTHCARE,HCARESVCE,HCARESUPPORT,"-44,036.73",-314.15
,41,ACR:USA,ACRES Commercial Realty Corp.,19.37,142.96,FINANCIAL,REALESTATE,REIT,4.95,-1.1
,42,ACRE:USA,Ares Commercial Real Estate Corp.,4.91,270.16,FINANCIAL,REALESTATE,REIT,-2.97,8.69
,43,ACRS:USA,"Aclaris Therapeutics, Inc.",3.87,419.29,HEALTHCARE,BIOPHARMA,BIOPHARMASYS,-35.7,-16.78
,44,ACRV:USA,"Acrivon Therapeutics, Inc.",1.98,62.47,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-107.54,-89.15
,45,ACTG:USA,Acacia Research Corp.,3.93,298.36,TECH,HW,COMPUTER,1.26,7.43
,46,ACTU:USA,"Actuate Therapeutics, Inc.",5.45,126.68,HEALTHCARE,BIOPHARMA,BIOPHARMANONSYS,-22.19,-17.36
,47,ACU:USA,Acme United Corp.,41.5,157.98,HEALTHCARE,HCARESVCE,HCARESUPPORT,5.86,2.89
,48,ACVA:USA,"ACV Auctions, Inc.",8.35,"1,437.63",TECH,SOFTWTECH,INTERNET,-5.16,3.2
